Authorname,Comments
Programming with Mosh,"ğŸš€ Get the complete course (zero to hero): https://bit.ly/3ahY7wv
ğŸ‘‰ Subscribe for more TypeScript tutorials like this: https://goo.gl/6PYaGF"
Cloud Practitioner,No one teaches like Mosh Hamedani does. What a legend ğŸ”¥
Code With Clinton,Your 6hour Python video on YouTube was where I learnt the basics of Django. I fell in love with Django and started teaching Django on my YouTube channel. Sir Mosh you are the best instructor in the world.
Sreevanth Duggirala,"Mosh, thank you so much for the countless digestible tutorials! I was able to effortlessly learn Python because of your effective teaching style. Would you be able to make a course/playlist for C++? Thanks again!"
RAYAT BIN NASIR,Incredibly video. This was really helpful. Mosh's tutorials are always so neatly arranged and skips unnecessary contents. Thank u very much for this and hope to see more tutorials. ğŸ˜
Mauvis Ledford,"One of the best, perfectly-paced, Typescript tutorials out there. Unfortunate that you don't use curly braces with your if statements. One of the biggest causes of bugs for new and even experienced JS programmers. Hubris is the only reason not to use them."
Vinicius Santana,Amazing stuff. I'm curious though on what would be your approach to setup the VSCode debugger having TypeScript installed as a dev dependency instead of a global dependency.
my kun,"Hi Mosh, The python course you teach is great but I found the content in the course very basic and it lacks many important things like decorator and multithreaded, asynchronous programming in python"
Bharat Singh,"Thanks for this amazing tutorial. I've just started learning and u made it super easy.
At 30:16 we do get those methods with javascript."
Israel,you dont need to go to Harvard to learn programming. mosh is the expert on teaching programming than any universities in the world. trust me i am witness. i used to be one of the people who dont understand coding and got lowest grade in university. but i decided to quit college and bought all his full stack courses. now i fall in love with coding and becoming the best on the field. Thanks Mosh!!
MoonSpark,"I never liked coding cause how hard it is and I watched one of your videos about python and it really helped me and made thinks easier to understand. Thanks for all the awesome content, keep it up ğŸ‘ğŸ»"
Sayan Naskar,"Hi Mosh, can you please mention the VSCode theme that you are using in this video? It looks quite aesthetically pleasing"
Jay M,"Hello Mosh, great content, I have a quick question for you, I want to buy your course and learn JavaScript and SQL, do you recommend those two if you want a job in QA Automation? I have been watching Postman API videos as well. Thank you for your time."
KiraMira,It was very useful and interesting to me! Thank you so much!
LINMUS,Thanks a bunch for such a comprehensive crash course on TypeScript. It helped me a lot to brush up on TS.
SyntaxErron,Engaging and so easy to follow. Thank you @Mosh ğŸ˜ƒğŸ‘
Felix C. Programs,Great video! You really inspired me to share my own experience through my Youtube channel as someone who switched careers to the tech industry. Cheers!
Rivaan Ranawat,This is beyond amazing! Love it ğŸ”¥ğŸ™Œ
NSğŸ˜¬,"Could you please make a video of machine learning with python in detail from scratch , it will be very helpful 
Coz i didn't find anyone like you teaching python , that was absolutely good"
Ashiq Khan,"Sir, Thanks a lot. can I know what theme you are using for Vs code? It's awesome..."
CodeOnBlocks,This is perfect! Thank you. Please continue making courses consitently! It has been a really long time since you released something.
bach bachir,"You are really the best of the best. I have been following you since your beginning. 
I learned a lot from you. Thank you very match.
 You have a unique and simple way of explaining concepts.   I wish you success.
Keep going"
Achal Singh,"I've been waiting for your - The Ultimate TypeScript Course - since ages Mosh!!
Looking forward to enrolling in the same!"
Myndale,"Another great course, Mosh. I've been programming TypeScript for a couple of years now, but I still learned quite a bit from this course.

And as I will continue to say for every video you put out....please, PLEASE do a course on Kotlin!"
Shiva Kumar,This is awesome!! Could you please add a tutorial on angular latest and specially NGRX?
andrea siano,Hey Mosh. I followed one of your courses and found it really helpful (html and css course). I was wondering if you'll manage to make a bootstrap video/course sooner or later.
E Dogan,"Mosh thanks for this amazing tutorial, we are waiting for react native course with react native cli and please recreate your react course with typscript"
David Pile,"Great tutorial. Really like your presentation style and pace. Took a look at your site, will definitely check back when I am looking for a full tutorial."
Hector G,Just wanted to thank you for this cool tutorial! It was very helpful.
Joe Petrillo,Course starts at 2:30
Cruz Jurado,Thank you Mosh! You are a great teacher!. I've noticed on the forum that you forgot to add Typescript in the categories.
Cust&Code in SAP ABAP,A really good tutorial! ğŸ¤—ğŸ˜€ your videos are really good! ğŸ‘
Munguzo Jean,Can't wait to explore the session ğŸ˜Š
Fati Sheh,"Thanks for this wonderful video.
Can you please guide me to the right path to become a backend web developer? What are the most needed/trendy languages, tools or frameworks to start with? Any tips and advises are highly appreciated. Thanks in advance."
Rafiul Islam,"You are a great teacher moshâ¤ï¸â¤ï¸. 
Please do a tutorial on Spring Boot"
Dnyaneshwar Kolhe,"Thank you so much for this course
I am desperately looking for this"
Adinai Zhamangulova,One of the best tutorials! You way is teaching is really good! Thankss
Natnael Zenebe,you're the best teacher on my list ğŸ¤—
khalid khan,"Bought this course!  Will explore it, I do believe it will be as good as other courses.
Thanks"
Khalipha Thiane,Always love learning from you. Waiting the VueJS course
Welcome Blessings Sayi,The wait is finally over. We love amazing work you are doing Moshâ¤ï¸â¤ï¸â¤ï¸
Meg Skyler,Thank you my man. Following you courses since ReactJS.
Zack On Code,"The legend himself at it again, thank you for making world class developers with your tuts!"
Akai Joe,Thanks you a lot  mosh! Javascript for the Web also needed
Hameed Laghari,I have learned SQL from You. You are good instructor.
Zequn Wu,Can you share your VS Code theme and font? It looks really nice!
Nicholas Loren,Coding really made simple â¤ï¸
Soham Mondal,Good for learning the basics. Thanks. :)
Desmond Tutu,"Thanks sir for your great support.
Pls sir can you make a video on: 
Representing and Manipulating Data

Python scripting

Tabular, JSON and XML formats

Thanks from English speaking Cameroon"
GiulioAndCode,Best tutorial I have ever seen!ğŸ”¥ğŸ”¥
Soumyadeep Mondal,I'm waiting for your C++ course... I really want to learn C++ from you and want to do competitive code with it. Lots of love from this side Mosh.
fmits Inc,I'm never disappointed by you Mosh-----Thank you!
Taen Ahammed,I always love to learn from you.
Ahmad Hassan,thank you mosh you are the best programming teacher since I have learned JS i wanna learn TS thanks for your contribution
Brandon McHugh,Came to youtube for an up-to-date typescript tutorial. I hope too much hasnt changed in the last 3 hours lmao
John Ho,May I know whether there are captions in your paid online courses? Thanks
Daniel J. Lewis,"TAKE MY MONEY!

Oh wait, I already gladly gave it to you. ğŸ˜ƒ I totally wanted this course, so I didn't even bother to pass go, collect $200, or watch this video. I just jumped straight to your website and ordered the full course.

THANK YOU!"
engineer_ash,"Hi Mosh can you give advice, I am very challenging to choose programming language for backend,i know JS so node js or .NET which one more suit for me?"
Mahdi Ghiasi,You are the best teacher mosh. Waiting for Golang course ğŸ˜‰
Walid Hamdi,You are amazing of explaining programming
Lilly ğŸ’,You are a great teacher
anshik gupta,Sir please do make a video on rtk-query in redux toolkit. Thank you
Saudi Man,"people: mosh we want flutter course :(
mosh: lets learn TypeScript :)
just kidding, you are the best programming instructor"
Maha Ghaly,Thank you mosh for your efforts
dilson manjenje,"The wait is over. I just enrolled, cuz I trust Mosh teaching style for year!"
Sohan Jain,Sir please make tutorial on Spring boot it's my humble request ğŸ™ğŸ™ğŸ™ğŸ™ğŸ˜•
iTsir,"Mosh I love you teaching method so much pls update or recreate React Course
ğŸ˜"
NIKHIL GAUTAM,Hello sir which vs code theme you're using??
Yusuf Abdulrazak,I will come back in next 1 years and see how far I have gone with you thanks âœŒï¸â£ï¸
j k,"I have a problem with debugging. When I try to Launch Program I receive an error ""
""let age: number = 20;
        ^
SyntaxError: Unexpected token ':'"""
Om Prakash,After very long time.... hope you are fine ğŸ™‚.  Looking for dotnet core tutorials
Manisha,Best teacher ever
CREATIVE TECHIFY,Finally The legend is back with typescript course
ansad k,"Thank you for this tutorial,,, could please give a tutorial about nest.js"
Steve Fisher,"32:18 is solved in typescript, using const assertions `as const`"
Ranjan Shrma,*Which Theme of Vs-code Used In TypeScript Course ?*
7orcas,"Thanks heaps mate, you are very good at what you do"
Tracy Yvette Syril,What course made you fell in love with how he teaches ?? Mine : He made me to understand python after 4 years of me being introduced to Programing.
Amrit Rai,"please make detailed courses on ML, Deep Learning and AI !"
Geek the Geek,I really loved the course. Anybody know the theme being used here in VS Code ?
Voranzov,Most waited. Thank you mosh
the trillionaire life,What a legend thank you ğŸ˜™ğŸ˜™
Diana Anca,need this course on udemy <3
omid ahmadpour,What a fantastic tutorial
Dheeraj Kashyap,"@ Mosh, I just finished this course because typescript is in prerequisites of Angular. Is this much typescript enough for me to move on and learn Angular?"
Star Lord,Hi ..Keep it up .. I am your student from the Yearly Course ..
louis vathan,"Hey mosh, please do a tutorial on django.
Love your tutorials btw."
orca_boi,"Alright so i hope someone answers quickly
Can I learn typescript with low knowledge on js? 
I know like basics like if statements and variables"
kinga I.,"PLEASE ğŸ™ğŸ™ğŸ™ do create a video about a very simple MERN app. - some kind of starter ( set up), that can be used in any application. You can use simple examples of apps."
Ryan Tabar,Me going from C++ to Javascript: How to know the argument types to a function? Solution: Typescript. Now it's easier to treat functions as a black box.
Abbas Gambo,"Sir, when are u going to make a video Dart program language specifically Flutter pls"
Mohamed Kittany,What vscode theme are you using? and what terminal theme extension is that?
Karan Trehan,"Mosh, your name will go down in history as one of the best teachers ever, if not the best. Wish you would teach other subjects too. Finance, Medicine, Astronomy, Physics, basically all things teachable.

BTW, how about creating a course on System Design and other aspects of End-to-End software building and releasing? Really looking forward to something like that in near future."
gurinder KantarTrial,May I please know the color theme used in VS Code
Sardar Kasmaliev,Thanks for your tutorial
Krzysiekoy,50:00 what is the difference between making Employee a type vs making Employee an interface?
Chi_dimma,"Hi Mosh, please what do I need to know to create a GPA calculator app?"
Benjamin,Mosh the great instructor ever... Kindly do something on laravel please
Sirui Zhang,OOOOOMMMMMGGGG finally!!! finally!!! typescript course from mosh!!!
RavenMK,I love your vscode Theme. What theme is that if I may ask?
